"film","director","actor"
"http://dbpedia.org/resource/Chief_of_Station_(film)","http://dbpedia.org/resource/Jesse_V._Johnson","http://dbpedia.org/resource/Alex_Pettyfer"
"http://dbpedia.org/resource/Chief_of_Station_(film)","http://dbpedia.org/resource/Jesse_V._Johnson","http://dbpedia.org/resource/Chris_Petrovski"
"http://dbpedia.org/resource/Chosen_Family_(film)","http://dbpedia.org/resource/Heather_Graham","http://dbpedia.org/resource/Michael_Gross_(actor)"
"http://dbpedia.org/resource/Chosen_Family_(film)","http://dbpedia.org/resource/Heather_Graham","http://dbpedia.org/resource/Julia_Stiles"
"http://dbpedia.org/resource/Chosen_Family_(film)","http://dbpedia.org/resource/Heather_Graham","http://dbpedia.org/resource/Heather_Graham"
"http://dbpedia.org/resource/Chosen_Family_(film)","http://dbpedia.org/resource/Heather_Graham","http://dbpedia.org/resource/John_Brotherton"
"http://dbpedia.org/resource/Chosen_Family_(film)","http://dbpedia.org/resource/Heather_Graham","http://dbpedia.org/resource/Andrea_Savage"
"http://dbpedia.org/resource/Chosen_Family_(film)","http://dbpedia.org/resource/Heather_Graham","http://dbpedia.org/resource/Thomas_Lennon"
"http://dbpedia.org/resource/Chosen_Family_(film)","http://dbpedia.org/resource/Heather_Graham","http://dbpedia.org/resource/Julie_Halston"
"http://dbpedia.org/resource/Christmess","http://dbpedia.org/resource/Christmess","http://dbpedia.org/resource/Darren_Gilshenan"
"http://dbpedia.org/resource/Christmess","http://dbpedia.org/resource/Christmess","http://dbpedia.org/resource/Steve_Le_Marquand"
"http://dbpedia.org/resource/Christmess","http://dbpedia.org/resource/Christmess","http://dbpedia.org/resource/Middle_Kids"
"http://dbpedia.org/resource/Code_3_(film)","http://dbpedia.org/resource/Christopher_Leone","http://dbpedia.org/resource/Aimee_Carrero"
"http://dbpedia.org/resource/Code_3_(film)","http://dbpedia.org/resource/Christopher_Leone","http://dbpedia.org/resource/Rainn_Wilson"
"http://dbpedia.org/resource/Code_3_(film)","http://dbpedia.org/resource/Christopher_Leone","http://dbpedia.org/resource/Rob_Riggle"
"http://dbpedia.org/resource/Code_3_(film)","http://dbpedia.org/resource/Christopher_Leone","http://dbpedia.org/resource/Yvette_Nicole_Brown"
"http://dbpedia.org/resource/Code_3_(film)","http://dbpedia.org/resource/Christopher_Leone","http://dbpedia.org/resource/Page_Kennedy"
"http://dbpedia.org/resource/Code_3_(film)","http://dbpedia.org/resource/Christopher_Leone","http://dbpedia.org/resource/Lil_Rel_Howery"
"http://dbpedia.org/resource/Cornflower_(film)","http://dbpedia.org/resource/Steve_Sekely","http://dbpedia.org/resource/Antal_Páger_(actor)"
"http://dbpedia.org/resource/Cornflower_(film)","http://dbpedia.org/resource/Steve_Sekely","http://dbpedia.org/resource/Lili_Berky"
"http://dbpedia.org/resource/Cornflower_(film)","http://dbpedia.org/resource/Steve_Sekely","http://dbpedia.org/resource/Irén_Ágay"
"http://dbpedia.org/resource/Crakk","http://dbpedia.org/resource/Aditya_Datt","http://dbpedia.org/resource/Jamie_Lever"
"http://dbpedia.org/resource/Crakk","http://dbpedia.org/resource/Aditya_Datt","http://dbpedia.org/resource/Arjun_Rampal"
"http://dbpedia.org/resource/Crakk","http://dbpedia.org/resource/Aditya_Datt","http://dbpedia.org/resource/Rukmini_Maitra"
"http://dbpedia.org/resource/Crakk","http://dbpedia.org/resource/Aditya_Datt","http://dbpedia.org/resource/Ankit_Mohan"
"http://dbpedia.org/resource/Crakk","http://dbpedia.org/resource/Aditya_Datt","http://dbpedia.org/resource/Nora_Fatehi"
"http://dbpedia.org/resource/Crakk","http://dbpedia.org/resource/Aditya_Datt","http://dbpedia.org/resource/Amy_Jackson"
"http://dbpedia.org/resource/Crakk","http://dbpedia.org/resource/Aditya_Datt","http://dbpedia.org/resource/Pooja_Sawant"
"http://dbpedia.org/resource/Crakk","http://dbpedia.org/resource/Aditya_Datt","http://dbpedia.org/resource/Vidyut_Jammwal"
